source,brand,mean,std,count
google,swiggy,0.5452195022727272,0.015515753968775145,880
google,cred,0.50892208125,0.022152324959776863,800
google,boat_lifestyle,0.5037741953488373,0.05984252296014552,1075
google,blinkit,0.4980853594936709,0.06531499429238533,790
google,netflix_india,0.48729807499999994,0.03165036505849098,1120
google,groww,0.4726081897810219,0.0354608500218316,959
google,noise,0.46966179910313904,0.039808157266948745,1115
google,wow_skin_science,0.4599997027027027,0.036132958824368615,259
google,mamaearth,0.4581818120603015,0.04292069559719577,995
google,fire_boltt,0.45189753846153846,0.04006348281538266,26
google,country_delight,0.4464610305555555,0.00514258308393194,720
google,nykaa,0.4450976183524505,0.02811876305975727,959
google,bigbasket,0.4393035993836672,0.049123167200124204,649
google,phonepe,0.43873818691588784,0.03970704682734459,214
google,licious,0.4375358954918033,0.022019242457025003,488
google,mcaffeine,0.4344620858524788,0.03666732353134966,827
google,urban_company,0.42972943625,0.011973135280555967,800
google,minimalist,0.4283093338509317,0.04102774739494736,644
google,paytm,0.42607460172143974,0.05646259050303532,1278
google,the_souled_store,0.4254303517534538,0.02604556767917324,941
google,duolingo,0.423908219858156,0.029433108246152778,423
google,ixigo,0.423021205,0.03760945620594749,1000
google,sugar_cosmetics,0.41954157954545457,0.05093658298762486,352
google,healthkart,0.41651253753026635,0.043079934140278685,413
google,bewakoof,0.41250427743902435,0.027674742582706947,656
google,mokobara,0.40930411295681063,0.035561047262239034,301
google,flipkart,0.4067746379066478,0.01199880759463477,707
google,makemytrip,0.4042724340909091,0.03954201157461446,440
google,zomato,0.40365263625,0.026314926093389694,800
google,wakefit,0.40191088786127166,0.028796336707165675,865
google,purplle,0.3989799940334129,0.033975986941003754,838
google,spotify_india,0.397897712,0.03820604921653114,250
google,snitch,0.3913745388127854,0.05525180272796535,219
google,superyou,0.3898981947449768,0.04568289769345848,647
google,amazon_india,0.38450206875,0.04257778222420548,960
google,zepto,0.3742989840848806,0.03696503783608039,754
meta,noise,0.5252361946308725,0.0658185260730448,149
meta,boat_lifestyle,0.49474972794117644,0.06445512786524774,136
meta,phonepe,0.4930371259259259,0.04530402243457728,135
meta,slice,0.4878598333333333,0.04738652378018139,12
meta,country_delight,0.4852583404255319,0.03849117493280346,47
meta,netflix_india,0.482929,,1
meta,blinkit,0.4794987516339869,0.046105715894116224,153
meta,duolingo,0.4765463333333333,0.06364376615453655,3
meta,nykaa,0.47222630324909753,0.04588551691408659,277
meta,ixigo,0.4705682413793103,0.04647052825695398,116
meta,mamaearth,0.46933287,0.03283602564831604,100
meta,paytm,0.46803607692307697,0.05381321981703866,13
meta,sugar_cosmetics,0.4658400172413793,0.043226799725093946,58
meta,wakefit,0.46534764444444443,0.0544814501365108,135
meta,cred,0.4638455454545454,0.031029292200277746,22
meta,urban_company,0.4629792517006803,0.04879416468492137,147
meta,amazon_india,0.4612420285714286,0.06111056416295768,210
meta,swiggyinstamart,0.4586681504854369,0.053744817648222226,206
meta,superyou,0.4585148275862069,0.041287708801251884,116
meta,flipkart,0.45770353164556965,0.06026139285657872,158
meta,swiggy,0.45525218497109826,0.03948593780408303,173
meta,minimalist,0.4514386642857143,0.0394469835871375,140
meta,licious,0.4490241226415094,0.05200407321495808,106
meta,mcaffeine,0.448996,0.033136788628937604,73
meta,purplle,0.4481756938775511,0.048140746861249785,98
meta,bigbasket,0.44499421678321677,0.03824879985268799,143
meta,groww,0.443673,0.026932587686666867,5
meta,healthkart,0.44205928289473684,0.0518460783038503,152
meta,zomato,0.4420078673469388,0.044377891584403445,98
meta,zepto,0.4419000125,0.0402708174414787,80
meta,makemytrip,0.43190656626506024,0.04717698228886304,249
meta,bewakoof,0.4282348407960199,0.039287884532187886,201
meta,mokobara,0.42636830769230766,0.04526823333287857,52
meta,the_souled_store,0.4196909675675676,0.04408952125455054,185
meta,spotify_india,0.4076657078651686,0.06042738464136526,89
meta,wow_skin_science,0.405011,,1
meta,snitch,0.3988158210526316,0.041497562820888984,190
