handle,channel_id,channel_title,channel_country,uploads_playlist,subscriber_count,channel_video_count,subscribers_hidden
GoPro,UCqhnX4jA0A5paNd1v-zEysw,GoPro,US,UUqhnX4jA0A5paNd1v-zEysw,11300000,3165,False
nike,UCUFgkRb0ZHc4Rpq15VRCICA,Nike,,UUUFgkRb0ZHc4Rpq15VRCICA,2280000,656,False
apple,UCE_M8A5yxnLfW0KghEeajjw,Apple,US,UUE_M8A5yxnLfW0KghEeajjw,20700000,202,False
Samsung,UCWwgaK7x0_FR1goeSRazfsQ,Samsung,KR,UUWwgaK7x0_FR1goeSRazfsQ,10200000,2526,False
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,Coca-Cola,US,UUosXctaTYxN4YPIvI5Fpcrw,4810000,1050,False
McDonalds,UCRI5ZedBs0_BYY4PlxD6m7w,McDonald's,,UURI5ZedBs0_BYY4PlxD6m7w,842000,242,False
Starbucks,UCj4nCgtjKJppK_IZeY8TUJg,Starbucks Coffee,US,UUj4nCgtjKJppK_IZeY8TUJg,482000,487,False
Spotify,UCRMqQWxCWE0VMvtUElm-rEA,Spotify,US,UURMqQWxCWE0VMvtUElm-rEA,2400000,1062,False
Airbnb,UCCww-R0oM_CQWXerBcNyKKw,Airbnb,US,UUCww-R0oM_CQWXerBcNyKKw,677000,645,False
Ryanair,UCGVLFaQ8KvBZee2WPzYnVfw,Ryanair,IE,UUGVLFaQ8KvBZee2WPzYnVfw,191000,2529,False
Wendys,UCxXHHbiGUO3RziA5kW0m1qw,Wendy's,,UUxXHHbiGUO3RziA5kW0m1qw,151000,232,False
OatlyTV,UCz3aOYkyqovmsCiG78Xbhow,Oatly,SE,UUz3aOYkyqovmsCiG78Xbhow,19000,323,False
liquiddeath2793,UCpRMG5MU1RurWtdiRFtPyvQ,Liquid Death,US,UUpRMG5MU1RurWtdiRFtPyvQ,56900,220,False
DollarShaveClub,UCLhWeWGlaxqJBKQdtbICiLQ,Dollar Shave Club,US,UULhWeWGlaxqJBKQdtbICiLQ,41200,217,False
IKEA,UCea45juw3lHS65aRSC4bdCw,IKEA,,UUea45juw3lHS65aRSC4bdCw,286000,604,False
Sephora,UC9YX5x_VU8gfe0Oui0TaLJg,Sephora,US,UU9YX5x_VU8gfe0Oui0TaLJg,1550000,2750,False
lego,UCP-Ng5SXUEt0VE-TXqRdL6g,LEGO,GB,UUP-Ng5SXUEt0VE-TXqRdL6g,21800000,50549,False
Patagonia,UCl3xZ-f3cQhOHvH6f-7-ssQ,Patagonia,US,UUl3xZ-f3cQhOHvH6f-7-ssQ,658000,1905,False
